Scenario ID,Instance ID,LP Relaxation,Proposed Algorithm,Naive Heuristic,LP Time,Proposed Time,Naive Time,Proposed Gap (%),Naive Gap (%)
2,8,17137592.9802,17762363.0000,17856772.0000,0.0012,0.0001,0.0000,3.6456,4.1965
2,9,17787168.8051,18411921.0000,18528435.0000,0.0013,0.0001,0.0000,3.5124,4.1674
2,10,16466995.3424,17055334.0000,17160164.0000,0.0011,0.0001,0.0000,3.5728,4.2094
2,11,17437475.6459,18063863.0000,18178806.0000,0.0012,0.0001,0.0000,3.5922,4.2514
2,12,15636652.5529,16184074.0000,16292017.0000,0.0013,0.0001,0.0000,3.5009,4.1912
2,13,17660089.3701,18279377.0000,18392024.0000,0.0014,0.0001,0.0000,3.5067,4.1446
2,14,15482126.2114,16012817.0000,16127541.0000,0.0012,0.0001,0.0000,3.4278,4.1688
2,15,15035221.7145,15585953.0000,15665626.0000,0.0013,0.0001,0.0000,3.6629,4.1928
2,16,16719366.8797,17312789.0000,17429382.0000,0.0011,0.0001,0.0000,3.5493,4.2467
2,17,16749362.8868,17333840.0000,17443551.0000,0.0011,0.0001,0.0000,3.4895,4.1446
2,18,16504461.8892,17107045.0000,17199127.0000,0.0012,0.0001,0.0000,3.6510,4.2090
2,19,15842694.0011,16365991.0000,16494708.0000,0.0011,0.0001,0.0000,3.3031,4.1156
2,20,17565860.8041,18189777.0000,18314556.0000,0.0013,0.0001,0.0000,3.5519,4.2622
2,21,16256986.3663,16824350.0000,16926585.0000,0.0013,0.0001,0.0000,3.4900,4.1188
2,22,16949901.9190,17553243.0000,17659989.0000,0.0011,0.0001,0.0000,3.5596,4.1893
2,23,17532639.6429,18143622.0000,18264366.0000,0.0012,0.0001,0.0000,3.4848,4.1735
2,24,17302215.1065,17907917.0000,18018101.0000,0.0012,0.0001,0.0000,3.5007,4.1375
2,25,17198794.4454,17795634.0000,17917010.0000,0.0012,0.0001,0.0000,3.4702,4.1760
2,26,16071404.4745,16618385.0000,16728691.0000,0.0012,0.0001,0.0000,3.4034,4.0898
2,27,15975887.5679,16546352.0000,16653456.0000,0.0013,0.0001,0.0000,3.5708,4.2412
2,28,15766046.1692,16309423.0000,16417141.0000,0.0016,0.0001,0.0000,3.4465,4.1297
2,29,17133260.9386,17767856.0000,17866991.0000,0.0012,0.0001,0.0000,3.7039,4.2825
2,30,16920561.1789,17533517.0000,17633034.0000,0.0012,0.0001,0.0000,3.6226,4.2107
3,1,16789204.2967,17387897.0000,17495067.0000,0.0012,0.0001,0.0000,3.5659,4.2043
3,2,16634527.8235,17225310.0000,17331695.0000,0.0011,0.0001,0.0000,3.5515,4.1911
3,3,16688712.8161,17282093.0000,17389925.0000,0.0012,0.0001,0.0000,3.5556,4.2017
3,4,16714280.1246,17308110.0000,17415839.0000,0.0011,0.0001,0.0000,3.5528,4.1974
3,5,16718636.8427,17312994.0000,17420925.0000,0.0011,0.0001,0.0000,3.5551,4.2006
3,6,16659397.5385,17254546.0000,17359799.0000,0.0015,0.0001,0.0000,3.5724,4.2042
3,7,16888897.3307,17490831.0000,17599547.0000,0.0012,0.0001,0.0000,3.5641,4.2078
3,8,16592203.6847,17181608.0000,17288642.0000,0.0011,0.0001,0.0000,3.5523,4.1974
3,9,16762979.1726,17359108.0000,17466640.0000,0.0013,0.0001,0.0000,3.5562,4.1977
3,10,16790018.9919,17388937.0000,17495905.0000,0.0011,0.0001,0.0000,3.5671,4.2042
3,11,16666245.0296,17254618.0000,17363672.0000,0.0011,0.0001,0.0000,3.5303,4.1847
3,12,16630752.4163,17219940.0000,17329239.0000,0.0012,0.0001,0.0000,3.5428,4.2000
3,13,16712232.6792,17305055.0000,17414152.0000,0.0012,0.0001,0.0000,3.5472,4.2000
3,14,16690388.9631,17282271.0000,17390193.0000,0.0014,0.0001,0.0000,3.5462,4.1929
3,15,16902587.4537,17505451.0000,17613016.0000,0.0012,0.0001,0.0000,3.5667,4.2031
3,16,16799949.5783,17395185.0000,17504695.0000,0.0012,0.0001,0.0000,3.5431,4.1949
3,17,16753200.5600,17350598.0000,17458031.0000,0.0013,0.0001,0.0000,3.5659,4.2071
3,18,16650116.9487,17242086.0000,17348048.0000,0.0012,0.0001,0.0000,3.5553,4.1917
3,19,16670785.4542,17263233.0000,17370596.0000,0.0012,0.0001,0.0000,3.5538,4.1978
3,20,16758485.2624,17354499.0000,17461575.0000,0.0011,0.0001,0.0000,3.5565,4.1954
3,21,16686888.4273,17279141.0000,17386241.0000,0.0014,0.0001,0.0000,3.5492,4.1910
3,22,16699004.4812,17290757.0000,17399778.0000,0.0013,0.0001,0.0000,3.5436,4.1965
3,23,16672243.3612,17267018.0000,17373422.0000,0.0012,0.0001,0.0000,3.5675,4.2057
3,24,16852306.7953,17452173.0000,17561049.0000,0.0012,0.0008,0.0048,3.5595,4.2056
3,25,16846359.5236,17449684.0000,17556680.0000,0.0019,0.0021,0.0001,3.5813,4.2165
